08/04/2020 05:26:32 - INFO - __main__ -   SentenceVAE(
  (embedding): Embedding(9877, 300)
  (embedding_dropout): Dropout(p=0.5, inplace=False)
  (encoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (decoder_rnn): LSTM(300, 300, num_layers=2, batch_first=True)
  (hidden2mean): Linear(in_features=600, out_features=16, bias=True)
  (hidden2logv): Linear(in_features=600, out_features=16, bias=True)
  (latent2hidden): Linear(in_features=16, out_features=600, bias=True)
  (outputs2vocab): Linear(in_features=300, out_features=9877, bias=True)
)
08/04/2020 05:26:32 - INFO - __main__ -   Number of GPU: 1
08/04/2020 05:31:43 - INFO - __main__ -   TRAIN Batch 0900/1314, Loss    4.3816, Recon-Loss    4.3816, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:47 - INFO - __main__ -   TRAIN Batch 1000/1314, Loss    4.7903, Recon-Loss    4.7903, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:51 - INFO - __main__ -   TRAIN Batch 1100/1314, Loss    4.7879, Recon-Loss    4.7879, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:55 - INFO - __main__ -   TRAIN Batch 1200/1314, Loss    4.7100, Recon-Loss    4.7100, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:58 - INFO - __main__ -   TRAIN Batch 1300/1314, Loss    4.7480, Recon-Loss    4.7480, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:59 - INFO - __main__ -   TRAIN Batch 1314/1314, Loss    4.4956, Recon-Loss    4.4956, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:31:59 - INFO - __main__ -   TRAIN Epoch 05/8, Mean Negative ELBO    4.5742, PPL: 96.9482
08/04/2020 05:32:01 - INFO - __main__ -   VALID Batch 0000/105, Loss    5.6104, Recon-Loss    5.6104, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:02 - INFO - __main__ -   VALID Batch 0100/105, Loss    5.3133, Recon-Loss    5.3133, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:02 - INFO - __main__ -   VALID Batch 0105/105, Loss    4.2939, Recon-Loss    4.2939, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:02 - INFO - __main__ -   VALID Epoch 05/8, Mean Negative ELBO    4.7734, PPL: 118.3195
08/04/2020 05:32:05 - INFO - __main__ -   TRAIN Batch 0000/1314, Loss    4.4845, Recon-Loss    4.4845, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:08 - INFO - __main__ -   TRAIN Batch 0100/1314, Loss    4.5456, Recon-Loss    4.5456, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:12 - INFO - __main__ -   TRAIN Batch 0200/1314, Loss    4.1114, Recon-Loss    4.1114, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:16 - INFO - __main__ -   TRAIN Batch 0300/1314, Loss    4.5470, Recon-Loss    4.5470, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:20 - INFO - __main__ -   TRAIN Batch 0400/1314, Loss    4.5864, Recon-Loss    4.5864, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:24 - INFO - __main__ -   TRAIN Batch 0500/1314, Loss    4.4471, Recon-Loss    4.4471, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:27 - INFO - __main__ -   TRAIN Batch 0600/1314, Loss    4.3036, Recon-Loss    4.3036, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:31 - INFO - __main__ -   TRAIN Batch 0700/1314, Loss    4.3126, Recon-Loss    4.3126, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:35 - INFO - __main__ -   TRAIN Batch 0800/1314, Loss    4.6731, Recon-Loss    4.6731, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:38 - INFO - __main__ -   TRAIN Batch 0900/1314, Loss    4.4183, Recon-Loss    4.4183, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:42 - INFO - __main__ -   TRAIN Batch 1000/1314, Loss    4.3782, Recon-Loss    4.3782, KL-Loss    0.0000, KL-Weight  1.000
08/04/2020 05:32:46 - INFO - __main__ -   TRAIN Batch 1100/1314, Loss    4.4039, Recon-Loss    4.4038, KL-Loss    0.0000, KL-Weight  1.000
